objectid,filename,format,title,description,source,identifier,language,date,subject,rights,rightsstatement
fungi014,fungi014.jpg,image/jpeg,Mycena leptocephala,The common name of this mushroom is the nitrous bonnet. This is a watercolor painting by Ellen Arabella Whinfield.,"Lilly Library, Botanical watercolours by Ellen Arabella Whinfield, 1835-1884.",QK98 .E54,eng,1840,Plants; Mushrooms; Fungi; Women artists; Botanical artist; Botanical illustration; 19th century; Watercolor painting; Watercolor,,This item is open for research.
fungi015,fungi015.jpg,image/jpeg,Mycena galericulata,"The common name of this mushroom is the common bonnet, or the rosy-gill fair helmet. This is a watercolor painting by Ellen Arabella Whinfield.","Lilly Library, Botanical watercolours by Ellen Arabella Whinfield, 1835-1884.",QK98 .E54,eng,1840,Plants; Mushrooms; Fungi; Women artists; Botanical artist; Botanical illustration; 19th century; Watercolor painting; Watercolor,,This item is open for research.
fungi016,fungi016.jpg,image/jpeg,Morchella esculentoides,"The common name of this mushroom is the common, or true, morel.","Lilly Library, Botanical watercolours by Ellen Arabella Whinfield, 1835-1884.",QK98 .E54,eng,1841,Plants; Mushrooms; Fungi; Women artists; Botanical artist; Botanical illustration; 19th century; Watercolor painting; Watercolor,,This item is open for research.
fungi017,fungi017.jpg,image/jpeg,Mycelium,There is no common name for mycelium. This is a lithograph print.,"Lilly Library, Our edible toadstools and mushrooms and how to distinguish them; a selection of thirty native food varieties, easily recognizable by their marked individualities, with simple rules for the identification of poisonous species, by W. Hamilton Gibson, 1895",QK617 .G451 O93 1895,eng,1895,Mushrooms; Fungi; Plates; Colored plates; Lithography,,This item is open for research.
fungi018,fungi018.jpg,image/jpeg,Amanita muscaria,"The common name of this mushroom is fly agaric, or fly amanita. This is chromolithograph print.","Lilly Library, Our edible toadstools and mushrooms and how to distinguish them; a selection of thirty native food varieties, easily recognizable by their marked individualities, with simple rules for the identification of poisonous species, by W. Hamilton Gibson, 1895",QK617 .G451 O93 1895,eng,1895,Mushrooms; Fungi; Plates; Colored plates; Chromolithography,,This item is open for research.
fungi019,fungi019.jpg,image/jpeg,Marasmius oreades,"The common name of this mushroom is fairy ring mushroom, or Scotch bonnet. This is chromolithograph print.","Lilly Library, Our edible toadstools and mushrooms and how to distinguish them; a selection of thirty native food varieties, easily recognizable by their marked individualities, with simple rules for the identification of poisonous species, by W. Hamilton Gibson, 1895",QK617 .G451 O93 1895,eng,1895,Mushrooms; Fungi; Plates; Colored plates; Chromolithography,,This item is open for research.
fungi020,fungi020.jpg,image/jpeg,Macrolepiota procera,"The common name of this mushroom is parasol mushroom, or snakeskin parasol. This is chromolithograph print.","Lilly Library, Our edible toadstools and mushrooms and how to distinguish them; a selection of thirty native food varieties, easily recognizable by their marked individualities, with simple rules for the identification of poisonous species, by W. Hamilton Gibson, 1895",QK617 .G451 O93 1895,eng,1895,Mushrooms; Fungi; Plates; Colored plates; Chromolithography,,This item is open for research.
fungi021,fungi021.jpg,image/jpeg,Russelae,Number 1 on the plate is Russula heterophylla. The common name of this mushroom is greasy green brittlegill. Number 2 is Russula alutacea. Number 2 does not have a specific common name. Number 3 is Russula Lepida. The common name for 3 is the rosy russula. The common name for the Russula genus in general is brittlegill.  This is chromolithograph print.,"Lilly Library, Our edible toadstools and mushrooms and how to distinguish them; a selection of thirty native food varieties, easily recognizable by their marked individualities, with simple rules for the identification of poisonous species, by W. Hamilton Gibson, 1895",QK617 .G451 O93 1895,eng,1895,Mushrooms; Fungi; Plates; Colored plates; Chromolithography,,This item is open for research.
fungi022,fungi022.jpg,image/jpeg,Pleurotus,The common name of this genus of mushroom is oyster mushroom. This is a lithograph print.,"Lilly Library, Our edible toadstools and mushrooms and how to distinguish them; a selection of thirty native food varieties, easily recognizable by their marked individualities, with simple rules for the identification of poisonous species, by W. Hamilton Gibson, 1895",QK617 .G451 O93 1895,eng,1895,Mushrooms; Fungi; Plates; Colored plates; Lithography,,This item is open for research.
fungi023,fungi023.jpg,image/jpeg,Calvatia & Lycoperdon,"The largest species is Calvatia gigantea. The common name of this mushroom is giant puffball. The smallest, round species is Lycoperdon perlatum. The common name of this one is the common puffball. The pear-shaped species is Lycoperdon excipuliforme. The common name of this one is the pestle puffball.  This is chromolithograph print.","Lilly Library, Our edible toadstools and mushrooms and how to distinguish them; a selection of thirty native food varieties, easily recognizable by their marked individualities, with simple rules for the identification of poisonous species, by W. Hamilton Gibson, 1895",QK617 .G451 O93 1895,eng,1895,Mushrooms; Fungi; Plates; Colored plates; Chromolithography,,This item is open for research.
fungi024,fungi024.jpg,image/jpeg,"""Clavaria"" coral","From left to right: Ramaria flava(goat's beard, changle), Ramaria stricta(strict-branch coral), Clavulinopsis umbrinella(beige coral), Clavulina rugosa(wrinkled coral fungus) Clavulina amethystina(Ametyst-troldkølle, Violetter Korallenpilz). This genus was previously classified as Clavaria as shown in the image. This is a lithograph print.","Lilly Library, Our edible toadstools and mushrooms and how to distinguish them; a selection of thirty native food varieties, easily recognizable by their marked individualities, with simple rules for the identification of poisonous species, by W. Hamilton Gibson, 1895",QK617 .G451 O93 1895,eng,1895,Mushrooms; Fungi; Plates; Colored plates; Lithography,,This item is open for research.
fungi025,fungi025.jpg,image/jpeg,Laetiporus sulphureus,The common name of this mushroom is chicken of the woods. This is chromolithograph print.,"Lilly Library, Our edible toadstools and mushrooms and how to distinguish them; a selection of thirty native food varieties, easily recognizable by their marked individualities, with simple rules for the identification of poisonous species, by W. Hamilton Gibson, 1895",QK617 .G451 O93 1895,eng,1895,Mushrooms; Fungi; Plates; Colored plates; Chromolithography,,This item is open for research.
fungi026,fungi026.jpg,image/jpeg,Agaricus,A species is not identified for this image. It is a scientific diagram of the spore surface and print of a general Agaric mushroom. This is a lithograph print.,"Lilly Library, Our edible toadstools and mushrooms and how to distinguish them; a selection of thirty native food varieties, easily recognizable by their marked individualities, with simple rules for the identification of poisonous species, by W. Hamilton Gibson, 1895",QK617 .G451 O93 1895,eng,1895,Mushrooms; Fungi; Plates; Colored plates; Lithography,,This item is open for research.
